,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
1,♪ (PIANO PLAYING) ♪,ELLARIA: The Lannisters have declared war on house Tyrell.,I wish you all the happiness in the world.,(GRUNTING),"Clegane, look into the flames.",LORD VARYS: Your father has proved to be an awful traitor.,(GROANS)
10,(CHANTING CONTINUES),of better men.,Son of Ned Stark.,"RANDYLL TARLY: She has three full-grown dragons, Your Grace.",Closest castle to Hardhome is Eastwatch by the sea.,(DRAGON GROWLING),SANSA STARK: She would if she thought I was going to betray Jon.
100,"I'm Meera Reed, daughter of Howland Reed.",You wish to know where my true loyalties lie?,Good.,We must devise a way to raise their spirits.,Step back and shut your mouth.,"Your father wanted to execute me, you know?",I was only trying to protect her.
101,"This is Brandon Stark,","Not with any king or queen, but with the people.","If you don't mind my saying,","Yes, perhaps we could be of assistance",Who are you?,I heard.,You and me both.
102,son of Ned Stark.,The people who suffer under despots and prosper under just rule.,I don't think you should return to Westeros.,in some current venture.,A stupid boy.,"He was in the right, of course.",She's alive.
103,How do I know that's true?,The people whose hearts you aim to win.,I'm not sure you'd be safe here.,My only venture at this moment,"I am Dickon Tarly,",Didn't make me hate him any less.,Arya.
104,You were at the Fist of the First Men.,"If you demand blind allegiance,","Oh, I will return, dear Spider.",is reestablishing control over this continent,son of Randyll Tarly.,"- I'm glad he didn't catch you. - Me, too.",- Where? - Winterfell.
105,You were at Hardhome.,I respect your wishes.,- One last time. - My lady--,and every person on it.,You are the future of your house.,Your father gave me this sword.,Who's protecting her if you're here?
106,You've seen the Army of the Dead.,Grey Worm can behead me or your dragons can devour me.,I have to die in this strange country.,I see a great deal of potential in that venture.,This war has already wiped one great house from the world.,Changed the pommel from a bear to a wolf...,The only one that needs protecting
107,You've seen the Night King.,"But if you let me live, I will serve you well.",Just like you.,I imagine it would require outside investment.,Don't let it happen again. Bend the knee.,but it's still Longclaw.,is the one that gets in her way.
108,He's coming for us.,I will dedicate myself to seeing you on the Iron Throne,Missandei: You stand in the presence,"It will, indeed.",I will not.,Lord Commander Mormont,It won't be me.
109,For all of us.,because I choose you.,"of Daenerys Stormborn of House Targaryen,","I need to expand my armies, my navies.","Your Grace, nothing scrubs bold notions from a man's head",thought you'd never come back to Westeros.,Tyrion: Here we are--
